,age,balance,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown,poutcome_other,poutcome_success,poutcome_unknown,actual,prob_0,prob_1,pred
21550,37,295,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.9486694233061792,0.05133057669382076,0
19158,60,3876,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0.9997592175045404,0.00024078249545955905,0
13404,60,2270,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.997475276049833,0.002524723950167005,0
19084,49,2139,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9887265038155901,0.011273496184409832,0
1650,35,503,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0.9904535134520198,0.009546486547980166,0
40685,57,168,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.7426118289120313,0.25738817108796874,0
14088,58,342,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.9190883814225884,0.08091161857741157,0
31085,37,1543,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0.9896682366534585,0.010331763346541506,0
10030,38,157,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.9500018195964401,0.04999818040355991,0
15840,47,1484,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9804480573633652,0.01955194263663482,0
40920,30,334,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8106173600952912,0.1893826399047088,0
18315,50,37,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0.9740135129380627,0.025986487061937263,0
42008,69,4572,2,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.9990257476008222,0.0009742523991777612,0
21134,46,3262,8,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9993945367396461,0.0006054632603538922,0
6886,38,-314,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.9429106236228987,0.05708937637710129,0
30657,33,882,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0.9033174248202245,0.09668257517977548,0
38943,36,1496,1,269,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.8962096702888706,0.10379032971112945,0
35892,30,518,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9261110722338861,0.07388892776611385,0
15322,34,-102,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9575039330841807,0.04249606691581934,0
11088,49,434,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0.994728033088564,0.005271966911436074,0
43492,21,546,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.9003617660435783,0.09963823395642173,0
33721,29,2,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0.911715892434461,0.08828410756553895,0
6582,36,0,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0.9665514308790458,0.033448569120954216,0
37576,49,-205,6,309,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.9734178181512888,0.02658218184871119,0
10192,36,9019,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.9999999706469401,2.935305984632563e-08,0
33932,36,-547,1,259,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.8014120446764841,0.19858795532351592,0
10793,48,-58,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.962212853567344,0.03778714643265598,0
156,51,1883,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0.9975038223533111,0.002496177646688846,0
34557,36,668,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.9232804109560127,0.07671958904398737,0
27255,40,9374,8,185,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9999999478252324,5.217476762717986e-08,0
37074,50,100,1,299,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.9579953794371354,0.04200462056286458,0
14025,40,149,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.8979757758494442,0.10202422415055577,0
24907,35,7530,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.9999982891871221,1.710812877919532e-06,0
31572,26,5005,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0.9999434353963196,5.656460368045313e-05,0
1973,53,0,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.9420788324592011,0.057921167540798894,0
44866,28,313,1,59,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.7166327947548903,0.28336720524510967,0
9282,38,1523,16,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.998365290644609,0.0016347093553910127,0
26576,37,836,1,177,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.9374212832496993,0.06257871675030068,0
44391,56,1989,4,181,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0.6771316444916389,0.3228683555083612,0
595,28,89,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.9265732396147974,0.07342676038520261,0
18320,55,264,5,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0.9789380514487873,0.021061948551212715,0
13839,48,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0.9189130582568029,0.08108694174319708,0
17564,42,-416,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.8938163733299705,0.1061836266700295,0
7420,28,6332,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.9999986824170471,1.317582952875702e-06,0
28760,46,417,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.9418434205548837,0.05815657944511627,0
44847,27,802,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.899705572587477,0.10029442741252304,0
40418,32,1411,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.94739022749414,0.05260977250585992,0
41569,73,934,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9308726264191886,0.06912737358081147,0
7628,50,992,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.9903960491206173,0.009603950879382695,0
32628,35,457,1,322,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9014199549322345,0.09858004506776555,0
19982,37,5016,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9999070958731174,9.290412688261233e-05,0
38788,33,523,5,360,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9516131090730013,0.048386890926998646,0
32971,47,3823,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.9998520563729161,0.00014794362708386947,0
28168,47,1425,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.963367751726183,0.036632248273816954,0
36721,44,4786,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0.9999736601710215,2.6339828978509294e-05,0
2337,25,17,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.9568661513822299,0.043133848617770115,0
31009,47,292,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.8820645908888304,0.11793540911116965,0
22934,35,973,9,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.9623062300491654,0.037693769950834635,0
16416,26,321,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0.9689771857636503,0.03102281423634966,0
15260,34,151,6,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9376672989775194,0.06233270102248057,0
25310,40,642,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.908278469049997,0.09172153095000307,0
10628,46,993,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.9888631991288124,0.011136800871187643,0
22052,50,8000,10,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9999999297614323,7.023856778917084e-08,0
6716,43,50,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.9764173709354262,0.023582629064573785,0
28096,32,197,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.8111536633117055,0.1888463366882945,0
954,43,87,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.9616488883632536,0.03835111163674642,0
38673,41,5745,3,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.9999540786079647,4.592139203528765e-05,0
31829,46,964,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0.962590391571816,0.03740960842818392,0
33839,36,531,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9376766122471453,0.06232338775285473,0
41782,61,6,1,182,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.40596760881782024,0.5940323911821798,1
11563,48,-110,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.9807247615742452,0.0192752384257549,0
4718,36,183,3,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.9727758814396986,0.027224118560301335,0
14663,43,1154,11,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.9787438279811453,0.021256172018854668,0
503,29,9,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.9720163459786262,0.02798365402137383,0
21995,39,0,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9417515507005432,0.05824844929945677,0
35225,50,806,8,297,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0.9836110503218982,0.016388949678101835,0
33107,31,2488,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.9962393574604417,0.0037606425395583266,0
38654,39,11971,10,179,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.9999999979973824,2.0026176009493257e-09,0
44929,30,21,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0.9478582975625263,0.05214170243747372,0
1416,43,388,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0.9716432056898056,0.028356794310194403,0
30178,38,890,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9518370656408401,0.04816293435915986,0
22511,30,463,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.8034448315944706,0.19655516840552945,0
24991,51,7848,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9999991316863075,8.683136925244152e-07,0
406,58,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.9277015579191052,0.07229844208089475,0
24721,44,106,1,175,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.9533524458018044,0.04664755419819557,0
20221,33,901,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9243800610909989,0.07561993890900115,0
44208,49,1946,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.9881857943018425,0.011814205698157445,0
7751,36,740,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.986867051922188,0.013132948077811976,0
41731,26,993,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.8923390222908394,0.10766097770916062,0
3038,41,5426,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.9999926465973098,7.353402690147911e-06,0
7999,53,1942,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.998181376143912,0.001818623856087967,0
37596,28,54,1,371,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0.940114116313004,0.059885883686995975,0
27973,54,0,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.884934117903785,0.115065882096215,0
1934,55,-256,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0.9891030902577205,0.010896909742279547,0
24283,33,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9268681994668959,0.07313180053310403,0
10164,35,164,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.9291030368948705,0.07089696310512947,0
16750,37,-59,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0.947250676867658,0.05274932313234209,0
6283,34,-76,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.9817853296510899,0.018214670348910056,0
12514,35,-51,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.9670545711046196,0.03294542889538048,0
18996,42,9720,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.9999999610999794,3.890002061156661e-08,0
15077,43,833,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9305648199987071,0.06943518000129288,0
14214,31,505,3,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9083581980711002,0.09164180192889983,0
2288,31,520,7,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.9901495794552557,0.009850420544744247,0
37183,35,34,2,365,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9532056639345613,0.04679433606543874,0
16311,25,148,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.7520585546387402,0.2479414453612598,0
32449,39,284,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.9429432048544346,0.05705679514556544,0
34549,23,632,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.9178535923661693,0.0821464076338307,0
19479,34,674,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0.9352561072793736,0.06474389272062638,0
25312,33,88,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0.925703650956189,0.07429634904381097,0
29653,41,0,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8686369698373514,0.13136303016264864,0
20581,30,23,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.9273570548820539,0.07264294511794611,0
3281,54,950,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.9908839021460759,0.009116097853924109,0
38524,57,39,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9618919078933452,0.03810809210665476,0
3175,43,471,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0.957567714831121,0.04243228516887893,0
40777,31,10884,3,98,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.9999997185353037,2.81464696294482e-07,0
