,y_true,train?,human_count_0,human_count_1,human_count_2,human_count_3,human_count_4,human_count_5,human_count_6,human_count_7,human_count_8,human_count_9,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,mean_rt,median_rt,std_rt,Median Reaction Time (s),actual,pred
12,4.0,1.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,2.0,0.0,0.0,1.839503909195628e-07,6.079624768062786e-07,5.053594804849126e-07,2.6507696020416915e-06,0.9999805688858032,4.620723757398082e-06,6.654876870015867e-06,3.0175719984981693e-06,2.7644421152217546e-07,8.546656431462906e-07,2458.1176470588234,1840.0,2052.9861533586522,1840.0,4,4
13,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.12464210391044615,0.0016804593615233898,0.00012863194569945338,3.3805847579060355e-06,1.9258512111264278e-05,2.281765591760632e-05,1.2468452950997745e-05,3.269610169809312e-05,0.86940598487854,0.004052238538861275,2589.769230769231,1896.5,2550.452159953439,1896.5,8,8
14,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,48.0,0.0,0.0,0.0,2.0859359040059644e-07,4.5452401309376e-07,1.1363816156517716e-05,3.221535280317766e-06,2.04972911888035e-06,8.371818694286047e-06,0.9999735355377196,5.765839432569919e-07,4.2388421661598834e-08,2.691594147563592e-07,1627.46,1512.5,614.1537801839909,1512.5,6,6
15,2.0,1.0,0.0,0.0,51.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.870080137057812e-08,2.1403647565421127e-07,0.9996321201324464,6.41403858026024e-06,8.35194623505231e-06,1.503918338130461e-05,0.0003343725693412125,2.3908789898996474e-06,2.493428326033609e-07,7.657050673515188e-07,1917.5471698113208,1590.0,1030.201839186375,1590.0,2,2
16,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.313267704172175e-07,8.983717270893976e-05,4.1430160990785225e-07,6.298630523815518e-07,6.519203452626242e-07,2.7934813260799274e-05,1.1653138187739387e-07,6.28713735295605e-07,3.1266117161976576e-07,0.9998787641525269,1391.7884615384617,1196.5,686.1913737674649,1196.5,9,9
17,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3716452132212015e-06,0.999091386795044,2.754852346242842e-07,6.721812951582251e-06,2.87900070361502e-06,2.780897921184078e-05,0.0008291234262287617,6.391674105543642e-06,1.056371820595814e-05,1.8550372260506265e-05,2644.48,1433.5,7651.636664299279,1433.5,1,1
18,4.0,1.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,1.2608575161721092e-07,1.236609932675492e-06,4.271350007911678e-06,1.0643116183928214e-06,0.9999725818634032,1.777308170858305e-06,1.7196332919411358e-05,1.2986223509869887e-06,2.9901201514803693e-07,1.292011546638605e-07,1853.18,1599.5,867.8212382931482,1599.5,4,4
19,3.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.619944356434644e-07,1.2718921027499164e-07,1.1074106964770179e-07,0.9999964237213136,1.102861801882682e-07,2.085163032461424e-06,6.492978172900622e-07,6.214523295966501e-08,1.6100472066682414e-07,2.9660485623139714e-08,1299.72,1235.5,280.5554286971268,1235.5,3,3
20,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0077439327460523e-07,0.9999929666519164,4.2765753960338776e-07,3.771349454950723e-08,1.4037796480792508e-09,2.423753130642581e-06,2.8951204100735598e-08,3.316291241617364e-08,4.232608716847608e-07,3.569246473489329e-06,1784.9215686274508,1496.0,963.7182750812036,1496.0,1,1
21,1.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1359599006464123e-07,0.9999678134918212,5.67283848340594e-07,9.515363672107924e-06,8.820366588224716e-07,6.9959310167178054e-06,1.5523867205047281e-06,2.686656671357923e-06,7.157461254791997e-07,8.929135219659656e-06,1570.9807692307693,1431.0,653.1026250434246,1431.0,1,1
22,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,4.695912139141001e-07,1.1276285476924386e-05,1.9335240608597807e-07,8.487768354825674e-08,1.0758766677554377e-07,3.3233615681638184e-07,1.1086401627835585e-06,1.2792891084245639e-06,0.9999849796295166,1.925800319213522e-07,1640.3921568627454,1433.0,693.7596148070703,1433.0,8,8
23,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3.802572609856725e-05,7.95106006989954e-06,3.958974048146047e-05,7.028556865407154e-05,2.311941716470756e-05,1.4043701412447266e-05,0.9997534155845642,1.6737742043915205e-05,1.2776207768183667e-05,2.411862988083157e-05,1484.72,1339.0,836.2418125037708,1339.0,6,6
24,3.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399523222924472e-07,3.4517734093242325e-07,3.6655756048276085e-06,0.9998551607131958,7.589109372929671e-06,9.393484674546928e-07,3.558707817319373e-08,1.2393365068419367e-05,7.602993719046935e-05,4.350175731815398e-05,1591.470588235294,1461.0,592.7665764174352,1461.0,3,3
25,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,4.231616514971393e-07,1.997395315811445e-07,7.0548198891629e-06,1.051176582222979e-06,3.873623427352868e-06,1.913837422762299e-06,0.999983549118042,8.516349794263077e-07,8.558467925467994e-07,2.483890853000048e-07,1503.44,1258.5,1352.6695474097862,1258.5,6,6
26,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.5063210412336048e-05,4.05427408622927e-06,3.8492441944981687e-07,3.8711229422006e-07,5.4631968282592425e-08,9.79576725512743e-07,3.841081763766853e-07,2.5765446025616257e-06,0.9999715089797974,4.7974276640161415e-06,1657.92,1460.0,632.3353811749855,1460.0,8,8
27,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,1.262339537788648e-06,2.026746415140224e-06,1.21223834526063e-07,2.556876381731854e-07,8.025204465411662e-07,1.277646504149743e-07,1.740026277730067e-06,0.9999920129776,1.2907514701510081e-06,3.2610915923214634e-07,1458.3653846153845,1312.0,454.5809114478855,1312.0,7,7
28,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1768434521618482e-07,0.9999778270721436,5.9192071688585195e-08,1.6896234228624962e-05,3.4061125120388175e-07,3.898905163168821e-07,6.066367745916068e-07,5.063335493105114e-07,6.993189458626147e-07,2.4617929739179094e-06,1411.98,1354.0,423.123829513348,1354.0,1,1
29,0.0,1.0,47.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9998281002044678,3.6154931422061067e-06,3.2152140647667693e-06,1.3029958836341393e-06,3.1471368856728084e-05,2.848348003681167e-06,3.4960812627105034e-06,5.9785838857351345e-06,6.832776853116229e-05,5.1700502808671445e-05,1788.72,1539.0,924.3796163384613,1539.0,0,0
30,3.0,1.0,0.0,0.0,1.0,51.0,0.0,1.0,0.0,0.0,1.0,0.0,2.088948122036527e-06,1.3521643893454893e-07,3.788082096889411e-07,0.9997349381446838,3.135648114493961e-07,5.5183936638059095e-06,5.445632389466937e-09,2.087982238663244e-06,4.562569301924668e-06,0.0002498492249287665,2094.1851851851848,1826.0,892.6522506167212,1826.0,3,3
31,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,1.2303924279422063e-07,2.13649428815188e-07,5.3907616148762834e-08,4.962071216141339e-07,5.99374061494018e-07,5.145813730678128e-08,1.0706524733450352e-07,0.9999983310699464,9.311149540280894e-08,1.82864763331736e-08,1774.88,1519.0,817.9390636451683,1519.0,7,7
32,1.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4307364892829355e-07,0.9999976158142092,7.96586832052526e-08,5.726609515477321e-07,1.2345446442907358e-08,7.025233230706364e-07,1.308226149632219e-08,1.6212150910632772e-07,2.9631285869413663e-08,6.808401167290867e-07,1388.9607843137255,1290.0,423.44897972645134,1290.0,1,1
33,5.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,2.6842592149023403e-08,9.739987945067696e-07,3.106872270564054e-08,4.832874765270391e-06,2.2377822972430292e-07,0.9999935626983644,3.2612618383609515e-07,4.928941521598064e-08,1.6079640730026767e-08,5.104661138233269e-09,1654.3035714285709,1408.0,810.5456281170975,1408.0,5,5
34,5.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0007067571859806776,0.0007799347513355317,1.8030086721410047e-05,0.007280417252331972,2.6901410819846202e-05,0.9908211827278136,1.6773015886428766e-05,0.00014566445315722376,0.0002025521971518173,1.6997075817926088e-06,1682.96,1521.5,590.4360878855142,1521.5,5,5
35,1.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0162924556643698e-06,0.9999819993972778,6.962105913999039e-08,1.1117517715319991e-06,7.880947805460893e-08,5.6370909078395925e-06,1.838705259160633e-07,6.800335938805803e-08,1.563416596184197e-08,8.846763194014784e-06,1339.0392156862745,1194.0,392.5424797794152,1194.0,1,1
36,0.0,1.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997822642326356,7.351328804361401e-06,1.0176025170949288e-05,1.570751737745013e-05,7.106819975888357e-05,4.092709787073545e-05,9.584018698660657e-06,4.662521678255871e-05,2.6249570055369978e-06,1.3737351764575575e-05,1780.72,1593.5,729.925857011994,1593.5,0,0
37,5.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,1.0976922339978044e-06,2.473814902259619e-06,3.787659181853087e-07,0.0017007422866299748,7.41833491701982e-06,0.9982810020446776,3.207707777619362e-06,2.758437176453299e-06,3.741919485378276e-08,8.660228445478424e-07,1881.549019607843,1642.0,1035.900580436665,1642.0,5,5
38,3.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.001872184744569e-07,2.1521100279642266e-07,8.463852196882728e-08,0.9999976158142092,6.794205376081662e-08,5.047530748925053e-07,2.1952659778889933e-07,1.6880589726042672e-07,6.349117711579312e-07,5.701273408931228e-08,1611.84,1359.0,1228.5328957412446,1359.0,3,3
39,6.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,45.0,0.0,0.0,0.0,1.6767215811341885e-06,5.962742761767004e-06,0.0022078347392380238,1.0583127732388677e-05,1.0071542419609614e-05,0.00019503306248225272,0.9974309802055359,8.501297270413488e-05,3.31760966219008e-05,1.9720759155461565e-05,2691.803921568628,1888.0,2074.215929160779,1888.0,6,6
40,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,3.464089559201966e-06,4.281424480723217e-06,4.4421949496609143e-07,1.4786721180826135e-07,8.423660347034455e-08,3.219101643026079e-07,9.878866080725855e-08,8.99119072528265e-08,0.9999908208847046,2.2422942436151056e-07,1744.111111111111,1531.5,770.0010699984398,1531.5,8,8
41,0.0,1.0,48.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999938011169434,4.908408186565794e-07,3.296933925867052e-07,5.98275505581114e-07,1.8307149218799168e-07,1.289522288061562e-06,1.1725444437615806e-06,7.095393357303692e-07,7.14894952125178e-07,5.835231036144251e-07,2706.7115384615386,1898.5,2419.298361553861,1898.5,0,0
42,1.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.606739369388378e-07,0.9999765157699584,9.723677152351226e-08,4.314896528967438e-08,1.5615559050274896e-06,7.797090120220673e-07,7.224718387988105e-07,1.1779095530073393e-06,9.353952009405477e-06,9.404705451743213e-06,1650.8076923076926,1446.5,660.4384176205076,1446.5,1,1
43,6.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,6.117826956142379e-07,1.3219520589302648e-08,0.01539151556789875,2.29468187171733e-05,6.789036888221742e-07,7.953566637297627e-06,0.9845751523971558,2.0253779098311492e-07,2.0970817971033284e-08,8.935371624829712e-07,2109.34,1563.5,1583.7225923083106,1563.5,6,6
44,2.0,1.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0159039195277728e-05,1.1652795137706562e-06,0.99989652633667,5.08437369717285e-05,8.452760994259734e-06,2.4694061266927747e-06,1.0977739293593912e-05,5.2447712732828205e-06,5.862965508640627e-07,3.6162819014862176e-06,1904.6792452830189,1454.0,1873.052504229238,1454.0,2,2
45,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,8.82812344116246e-07,4.956274324285914e-08,8.001069251584172e-10,3.2406990158051485e-07,2.473139026903937e-09,8.529876360796607e-09,3.187769215262648e-10,7.585516073049803e-07,1.1683395362283022e-09,0.9999980926513672,1751.5,1446.0,1028.4269636721137,1446.0,9,9
46,1.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68815323731542e-07,0.9999802112579346,2.568251602497185e-07,6.153723006718792e-07,2.0786637833225536e-07,1.0030295243268483e-06,3.412584419493214e-07,1.705110435068491e-07,4.487295868216278e-08,1.6552177839912474e-05,1472.2692307692307,1373.5,466.2168609001952,1373.5,1,1
47,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,9.963398497347953e-07,1.4482578762908815e-06,2.5364806788275023e-06,2.9526194111895165e-07,1.4748263765795857e-06,1.670136157372326e-06,3.4053850868076547e-06,0.9999878406524658,2.502163454209949e-07,1.3133018228472793e-07,1576.8269230769226,1391.5,652.9846624975302,1391.5,7,7
48,4.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,9.969772918339004e-07,1.1202408131794073e-05,1.2780211363860872e-05,1.3322377299118669e-06,0.9999607801437378,2.6847089884540765e-06,1.922856881719781e-06,4.8492115638509875e-06,1.441847757632786e-06,2.0980960471206345e-06,1760.411764705883,1687.0,506.09541299919283,1687.0,4,4
49,1.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009251453448086977,0.327899307012558,2.7817015507025648e-05,8.08284676168114e-06,8.109736518235876e-05,5.0914884923258796e-05,5.398342636908637e-06,2.692958105399157e-06,2.0324414435890503e-06,0.6709975004196167,2034.1730769230767,1603.0,1369.9090240460844,1603.0,1,9
50,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.246883709261965e-08,0.999995231628418,1.3045421098922816e-07,5.215850364947983e-07,9.679688872665793e-08,9.000509066936503e-07,3.69083295481687e-07,2.7972748739557574e-07,1.688182180714648e-07,2.0914019387419103e-06,3283.9,1318.0,12919.74211414138,1318.0,1,1
51,2.0,1.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.759272870724093e-06,7.250290309457341e-06,0.9997413754463196,5.0629016186576343e-05,3.280241071479395e-05,1.3978912647871765e-05,0.0001301479642279446,1.0099435712618288e-05,1.6025212516979082e-06,2.2963704395806417e-06,1972.166666666667,1492.0,1731.8937475579125,1492.0,2,2
52,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0019918761372537e-07,1.1535568091858295e-06,1.6279375358863035e-07,9.32641910367238e-08,1.1989311587967674e-07,1.5581001662212657e-06,7.800548473824165e-07,1.2196438774481069e-06,0.9999946355819702,1.0272571415725906e-07,1828.3846153846155,1483.0,1030.556772300849,1483.0,8,8
53,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999728202819824,2.3824104573577642e-06,3.1117892831389322e-06,6.078974479351018e-07,2.099128096233472e-06,3.900163392245304e-06,6.2978806454339065e-06,7.320381314457336e-07,6.52440348858363e-06,1.4361877447299774e-06,1512.46,1303.5,579.7202425237855,1303.5,0,0
54,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.879249336729117e-07,8.761737149143299e-07,1.8498171527880913e-07,7.079491979311571e-07,3.3549090971973793e-07,2.3614887822986932e-07,1.2913743319131757e-07,2.205871538762949e-07,8.601411423114769e-07,0.9999961853027344,1676.8076923076926,1321.0,1553.2795796277912,1321.0,9,9
55,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1.4065423783904407e-05,1.4949031310607097e-06,1.8338307654630626e-06,2.0382154275466746e-07,3.997858186721713e-07,3.4851356645049236e-07,2.383289029239677e-06,1.7651425423537148e-06,0.9999676942825316,9.90513672149973e-06,1486.76,1420.5,512.8539418921198,1420.5,8,8
56,8.0,1.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.8850765824317932,2.214246887888293e-05,0.00019153913308400658,5.166922164789867e-06,0.00018610130064189442,4.622260166797787e-05,1.189859631267609e-06,6.831898645032197e-06,0.1144443303346634,1.992106808756944e-05,2973.8823529411766,2158.0,2650.456456137764,2158.0,8,0
57,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,5.769845490277703e-09,5.004030185773445e-07,1.3192679837459307e-08,1.4748042787005032e-08,3.0568145348297554e-07,3.114120161740175e-08,2.443346431846294e-07,1.0651777415660037e-07,0.9999986886978148,7.988548134107988e-08,1717.2,1544.5,787.8160201675598,1544.5,8,8
58,5.0,1.0,0.0,0.0,0.0,2.0,1.0,47.0,2.0,1.0,0.0,0.0,7.814749380941066e-08,7.637872556642832e-08,2.1103808478528663e-07,1.0483406640560131e-06,4.135668859817089e-06,0.9999104738235474,1.666594357629947e-06,8.155739487847313e-05,1.5603117731188831e-07,5.893673460377613e-07,2596.849056603773,2014.0,1684.8582044450006,2014.0,5,5
59,4.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,1.4727132111147513e-05,3.794668600676232e-06,1.7892355685944494e-07,1.9840051663777562e-06,0.9997894167900084,4.333209290052764e-06,1.8262162484461442e-06,0.00017326980014331644,1.0063087756861933e-05,4.2183978621324064e-07,1484.4423076923074,1354.5,534.3970915979012,1354.5,4,4
60,2.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.161087079206482e-06,4.5537390747085743e-07,0.9999819993972778,8.128960871545132e-06,5.281754624775202e-07,8.758321428103955e-07,1.9132614852424012e-06,2.452820581311244e-06,4.737198935345078e-07,6.169225486019059e-08,1489.22,1297.0,659.6703347978025,1297.0,2,2
61,2.0,1.0,0.0,0.0,48.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2108548566611717e-06,4.6827677579130984e-05,0.9365596175193788,0.004805008415132761,0.0006060414598323405,0.0005137628177180886,0.057321980595588684,0.00014061019464861602,8.172634693437432e-07,2.2081669612816768e-06,2377.0392156862745,1920.0,1420.886356620885,1920.0,2,2
62,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,2.139667458322947e-06,5.372069608711172e-06,1.1243413609918207e-05,9.375938134326134e-06,8.061355401878245e-06,5.294619404594414e-05,0.999892234802246,5.0502030717325405e-06,1.1154808817082083e-05,2.509593969080015e-06,1368.4,1283.5,470.2856274952185,1283.5,6,6
63,3.0,1.0,0.0,0.0,3.0,46.0,1.0,2.0,0.0,0.0,0.0,0.0,1.103473641705932e-05,3.342117224747198e-06,1.087314376491122e-05,0.9998729228973388,3.1607352866558365e-05,4.752233871840872e-05,8.806926416582428e-06,1.1955109584960155e-05,1.0704636679292891e-06,8.101966955109674e-07,2972.230769230769,1920.0,2841.7719176555793,1920.0,3,3
64,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,2.39785440498963e-05,4.4034743496013107e-07,2.1576161088887598e-06,1.017042905004928e-06,1.578321416673134e-06,2.230813606729498e-06,1.023695494950516e-05,7.193771693891905e-07,0.999956488609314,1.2373426443446078e-06,2094.5,1308.5,4241.19185292688,1308.5,8,8
65,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,1.098948018807278e-06,2.3842887912906008e-06,3.568807827036835e-08,1.4004473314344068e-06,9.873153317130344e-08,1.0229477993561886e-06,3.1327067517850077e-07,0.9999922513961792,7.891016906569347e-08,1.1949360896323924e-06,1927.333333333333,1452.0,1937.8810661819955,1452.0,7,7
66,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3.883229965140345e-06,1.1763021575461607e-05,2.130434586433693e-05,9.127497469307856e-05,2.4789610506559256e-06,4.649883521778975e-06,0.999842643737793,1.0203520105278585e-05,3.99894270231016e-06,7.725295290583745e-06,1409.9803921568628,1164.0,1026.2405076822113,1164.0,6,6
67,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0566624268903981e-06,7.653484885850048e-07,2.0165055047982605e-06,3.008096655321424e-06,7.17377133696573e-07,7.578443046440951e-07,1.178343723040598e-06,4.7218310328389634e-07,0.99998939037323,6.230725375644397e-07,2038.8823529411768,1662.0,1016.8728661353656,1662.0,8,8
68,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2.258839595015161e-05,1.822905869630631e-05,8.432118193013594e-05,1.9827739379252307e-06,0.4088904559612274,3.781992927542888e-05,9.199314945362858e-07,0.5908582210540771,7.054371508274927e-06,7.843245839467272e-05,1815.9607843137253,1486.0,866.4551450775583,1486.0,7,7
69,1.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0747264695964986e-06,0.9999428987503052,9.56301050791808e-07,5.382931703934446e-06,1.285661141992023e-06,2.386037522228435e-05,2.4435887553408975e-06,1.7089091670641208e-06,1.648230636419612e-06,1.878342118288856e-05,2838.1764705882347,1370.0,9563.398794792323,1370.0,1,1
70,5.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.782512072168174e-06,1.7042184481397271e-06,3.5816714216707624e-07,0.000375844887457788,6.231474003470794e-07,0.9995918869972228,1.7940579937203438e-06,8.04105366114527e-06,1.6235308066825382e-05,1.723409582155e-06,1522.6923076923074,1365.0,761.3602774616829,1365.0,5,5
71,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,4.923178494209424e-05,7.649323379155247e-06,2.995029944941052e-06,6.158867108752021e-06,2.2140344299259602e-05,1.1150278623972554e-05,2.326718458789401e-05,2.2214537239051424e-05,0.9997454285621644,0.00010979708167724311,1870.9019607843134,1703.0,760.4619978645076,1703.0,8,8
